PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,BuildingAge,distance_center,nb_use_types,Electricity,SteamUse,NaturalGas,Buildings Consumption,Neighborhood Consumption
Mid-Rise Multifamily,SOUTHEAST,1.0,6,78005,14081,,1719814.625,False,Compliant,36.28,13,6.779756273829974,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,4.0,2,20400,0,34.0,991513.875,False,Compliant,6.91,67,7.032705407743805,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,SOUTHEAST,1.0,2,47560,0,80.0,1132489.625,False,Compliant,33.23,33,6.983058179345552,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Senior Care Community,EAST,1.0,6,62334,0,100.0,1076733.25,False,Compliant,34.98,17,2.845617830591981,3,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTH,1.0,4,41664,0,81.0,952895.625,False,Compliant,6.64,41,5.160284439628442,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Residence Hall,NORTHEAST,1.0,3,20960,0,,1500309.75,False,Compliant,64.51,93,5.589961499616099,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,7,67403,0,,5364026.0,False,Compliant,200.3,11,1.8000259211549607,5,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,5,30180,0,,2228675.5,False,Compliant,79.58,94,1.6526221914562846,3,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
University,DOWNTOWN,1.0,3,28800,0,,717056.375,False,Compliant,8.45,113,1.5370614749521914,1,True,False,True,buildings with high electricity consumption,Neighborhood with high electricity consumption
K-12 School,DOWNTOWN,1.0,2,21600,0,72.0,1261536.75,False,Compliant,38.87,66,1.4948335432254531,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,DOWNTOWN,1.0,3,22860,0,43.0,931148.625,False,Compliant,6.49,28,1.6305976913134654,1,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,LAKE UNION,1.0,4,25490,0,80.0,697397.875,False,Compliant,4.86,33,1.9722279790686568,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,25137,0,,767297.8125,False,Compliant,5.35,57,7.700649455832599,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,NORTHEAST,1.0,1,26366,0,88.0,888031.875,False,Compliant,32.22,51,8.846226711440664,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,SOUTHWEST,0.0,4,31236,0,76.0,917194.625,False,Compliant,6.39,31,3.939121823584109,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,7,140759,0,91.0,4230514.0,False,Compliant,67.23,18,4.050912937431622,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,DELRIDGE,1.0,3,27119,0,,596242.1875,False,Compliant,4.16,24,4.297375613948451,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,SOUTHEAST,1.0,2,21732,0,2.0,860364.1875,False,Compliant,23.59,58,10.327984866852297,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,1.0,3,43752,0,32.0,1497496.5,True,Error - Correct Default Data,10.44,62,9.516391491257634,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,1.0,3,60270,0,,1359764.875,False,Compliant,9.48,55,9.439542402804861,4,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,1.0,4,160561,0,91.0,5885427.5,False,Compliant,218.2,55,9.706799828990832,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,1.0,4,34678,0,43.0,1128208.125,False,Compliant,7.87,54,10.078794866214352,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,22394,0,74.0,744244.6875,False,Compliant,5.19,46,5.074415904493451,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,6,145812,0,,5707529.5,False,Compliant,155.54,16,3.2969108593672938,5,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,BALLARD,1.0,1,21060,0,,350264.5938,False,Compliant,6.69,78,5.170034599121354,4,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mixed Use Property,BALLARD,1.0,4,20539,0,,1678458.75,False,Compliant,37.31,63,5.080479236711978,5,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,NORTHEAST,1.0,1,38624,0,83.0,1424157.25,True,Error - Correct Default Data,38.78,65,10.150651417379875,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,EAST,1.0,5,22874,0,,601813.125,False,Compliant,4.2,38,3.5544475063840206,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,21469,0,77.0,510528.5,False,Compliant,3.56,58,7.253519097652924,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,4,50252,0,31.0,1928562.0,False,Compliant,13.44,39,7.290901344892959,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,3,22824,0,42.0,593953.375,False,Compliant,4.14,45,5.236499410748292,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,3,57338,0,87.0,1168017.75,False,Compliant,8.14,35,5.111614290745611,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHEAST,1.0,8,93502,0,91.0,3185005.75,False,Compliant,87.31,95,4.77722723440757,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,20260,0,,630214.3125,False,Compliant,4.39,114,4.74564204591354,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Retail Store,NORTHEAST,1.0,3,32960,0,71.0,813641.0,False,Compliant,5.67,123,4.66149747955203,1,True,False,False,low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,NORTHEAST,1.0,3,29636,0,,688641.8125,False,Compliant,4.8,102,4.640367509960983,2,True,False,False,low electricity consumption buildings,Neighborhood with medium electricity consumption
Hotel,NORTHEAST,1.0,3,20571,0,72.0,716279.6875,False,Compliant,4.99,93,4.435786770751367,1,True,False,False,medium electricity consuming buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,23742,0,91.0,620154.375,False,Compliant,4.32,67,4.429926212536283,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,22344,0,84.0,635222.875,False,Compliant,4.43,59,4.296099411829032,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,24492,0,67.0,585736.625,False,Compliant,4.08,42,4.4044390943926475,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHEAST,1.0,5,31075,0,98.0,682088.875,False,Compliant,4.76,61,4.345267768476911,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,28700,0,46.0,887017.125,False,Compliant,6.18,98,4.488846418238868,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,22542,0,95.0,659368.625,False,Compliant,15.97,99,4.559896028702273,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,24680,0,88.0,803533.3125,False,Compliant,21.97,100,4.569371070160052,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHEAST,1.0,8,63837,0,,2568377.75,False,Compliant,63.68,95,4.596713142518209,3,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,NORTHEAST,1.0,2,47992,0,17.0,3040195.5,False,Compliant,118.37,97,4.7342183478449185,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,22320,0,82.0,1646088.5,False,Compliant,59.61,107,4.675416372816414,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Residence Hall,NORTHEAST,1.0,3,28572,0,16.0,2717863.25,False,Compliant,89.57,30,4.509103219801525,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,26639,0,84.0,711594.0,False,Compliant,4.96,59,4.524480009686001,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,34735,0,76.0,783355.125,False,Compliant,5.46,60,4.464294636938987,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,4,25568,0,89.0,705948.3125,False,Compliant,4.92,60,4.451017232373571,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,25904,0,89.0,945745.6875,False,Compliant,26.21,96,4.425289754356009,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,24548,0,85.0,811907.625,False,Compliant,5.66,82,4.243643505499888,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHEAST,1.0,9,71827,0,77.0,1884194.625,False,Compliant,13.14,53,4.2425200534782,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHEAST,1.0,6,145350,0,,3897250.25,False,Compliant,39.49,15,4.207108225173564,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHEAST,1.0,7,169931,0,83.0,3091348.25,False,Compliant,21.55,19,4.208078564614602,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHEAST,1.0,6,69452,0,89.0,2885740.5,False,Compliant,51.28,25,4.112169224774263,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHEAST,1.0,6,47791,0,100.0,1144018.25,False,Compliant,7.98,24,4.0775078539779885,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,4,29683,0,53.0,957419.6875,False,Compliant,8.64,54,6.289093777638002,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,SOUTHWEST,1.0,8,40791,0,,1731455.75,False,Compliant,43.57,20,5.594901532104648,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,NORTHWEST,1.0,5,56319,0,49.0,2681050.5,False,Compliant,52.09,52,4.413158648664772,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,BALLARD,1.0,4,30948,0,91.0,623322.3125,False,Compliant,4.35,48,5.783040820966721,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,BALLARD,1.0,4,39319,0,68.0,948224.625,False,Compliant,6.61,35,5.767929733688045,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,4,41443,0,12.0,1604129.75,False,Compliant,11.18,39,4.944757013351973,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,130680,0,7.0,3515821.0,False,Compliant,24.51,48,7.7688832936716,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Residence Hall,EAST,0.0,15,115775,31535,94.0,2882489.75,False,Compliant,20.09,41,2.7012151587834734,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Worship Facility,NORTHEAST,1.0,2,31386,0,52.0,1128179.125,False,Compliant,27.14,23,6.933050727136626,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,NORTHEAST,5.0,3,21500,0,44.0,6689184.0,False,Compliant,202.65,34,6.7686873761454915,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,EAST,1.0,5,140778,0,81.0,2834238.5,False,Compliant,19.76,34,2.9266736426493827,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTHEAST,4.0,4,30834,0,97.0,606111.0,False,Compliant,4.23,62,7.5005151402540156,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,5,21536,0,,464720.5938,False,Compliant,3.24,21,1.6407526705419622,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTHWEST,2.0,4,47873,0,32.0,1016146.875,False,Compliant,7.08,35,5.200168983278864,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,4,39581,0,86.0,853314.5,False,Compliant,5.95,38,6.26244200733628,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,23177,0,,488515.4063,False,Compliant,3.41,34,2.816336511287629,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,5,54360,0,77.0,1544388.5,False,Compliant,10.77,32,1.0205957211513768,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,3,70207,0,100.0,702481.375,False,Non-Compliant,4.9,33,3.676375905843854,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,2,84116,26497,68.0,2641681.75,False,Compliant,20.08,11,2.5647814598874157,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,GREATER DUWAMISH,1.0,1,55206,0,75.0,2345752.5,True,Error - Correct Default Data,61.84,52,5.9113706607681715,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Senior Care Community,SOUTHEAST,1.0,3,78374,0,98.0,3321035.75,False,Compliant,23.15,42,6.7325269483682835,2,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,4,121037,0,84.0,2391566.25,False,Compliant,16.67,31,3.965131798255276,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,BALLARD,1.0,2,38784,0,,1841154.25,False,Compliant,26.11,16,2.907159651663174,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,26568,0,98.0,578854.125,False,Compliant,4.04,39,2.942620071825275,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,BALLARD,1.0,6,182494,0,94.0,5249190.0,False,Compliant,131.87,16,4.592204490477736,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,BALLARD,1.0,6,113462,0,97.0,2167888.25,False,Compliant,15.11,16,4.627968399639692,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,GREATER DUWAMISH,1.0,2,41790,0,,2177075.0,False,Compliant,33.37,54,3.5458713371067248,2,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,39960,0,77.0,2178690.5,False,Compliant,49.98,123,1.762350324576382,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Warehouse,DOWNTOWN,1.0,5,33300,0,,90558.70313,False,Compliant,0.63,123,1.7790193203727933,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Hotel,DOWNTOWN,1.0,11,36240,0,98.0,2147968.25,False,Compliant,120.91,97,1.8941889763325648,1,True,True,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Other,DOWNTOWN,1.0,3,39320,6960,,3042875.5,False,Compliant,145.48,101,2.149208737566904,1,True,True,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,5,41452,0,99.0,1606981.25,False,Compliant,63.41,116,2.3416656970035192,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Other,DOWNTOWN,1.0,5,41536,0,,2735166.0,False,Compliant,19.07,115,2.2733146030449203,1,True,False,False,low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,DOWNTOWN,0.0,3,45320,0,57.0,3300549.25,False,Compliant,122.59,107,2.1588516741687913,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Hotel,DOWNTOWN,1.0,6,35820,0,94.0,3321603.0,False,Compliant,130.58,114,2.5856870621550425,1,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,4,42984,0,,1249939.25,False,Compliant,15.9,20,4.327979053608572,3,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,SOUTHWEST,1.0,2,33462,0,76.0,3987215.5,False,Compliant,185.23,101,5.1342429052829095,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,SOUTHWEST,1.0,3,49744,0,98.0,2096835.5,False,Compliant,89.29,58,5.109263103905981,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Worship Facility,SOUTHWEST,1.0,2,37816,0,60.0,1411305.5,False,Compliant,43.45,100,5.217901462032954,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,SOUTHWEST,0.0,2,23315,0,,1354000.625,False,Compliant,35.04,97,5.38224319061663,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,SOUTHWEST,1.0,2,20700,0,,4265815.0,False,Compliant,188.67,93,5.402329462493184,4,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,SOUTHWEST,1.0,9,82876,18274,81.0,3093583.0,False,Compliant,71.55,44,5.352665709365972,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,SOUTHWEST,1.0,1,41521,13124,,3343550.0,False,Compliant,100.21,75,4.99415661374346,3,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Supermarket / Grocery Store,SOUTHWEST,1.0,2,25762,0,100.0,1906384.875,False,Compliant,13.29,77,4.953232732188978,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,SOUTHWEST,1.0,7,213016,0,99.0,5149928.5,False,Compliant,128.91,13,4.867929937976367,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,SOUTHWEST,1.0,1,33334,0,,6118300.5,False,Compliant,210.3,39,4.70058591412458,2,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,SOUTHWEST,1.0,3,43387,0,60.0,2686765.0,False,Compliant,34.15,42,4.75388681138196,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,2,23983,0,39.0,908203.625,False,Compliant,6.33,63,4.622637857645805,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,4,29351,0,80.0,614044.6875,False,Compliant,4.28,60,4.5929446052648695,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,SOUTHWEST,1.0,7,106976,20986,35.0,4358944.5,False,Compliant,73.31,20,4.62853204395036,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,Central,1.0,3,25475,0,86.0,1118772.75,False,Compliant,50.43,103,5.287208214311009,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,Central,1.0,3,40779,0,66.0,1234573.875,False,Compliant,8.61,55,5.220144737130736,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,38328,0,69.0,1093724.375,False,Compliant,7.62,58,1.8701953410823406,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,NORTH,1.0,1,39350,0,,267135.0938,False,Compliant,1.86,44,8.539253767011148,3,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTH,1.0,6,193691,0,,6649938.0,False,Compliant,178.46,15,8.495247155395013,3,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,NORTH,0.0,1,22405,0,,3498214.75,False,Compliant,134.57,74,8.471514250558894,2,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTH,1.0,7,86283,0,54.0,3739029.75,False,Compliant,69.15,52,8.744048760367729,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTH,1.0,6,57775,0,,2536760.75,False,Compliant,17.68,22,8.462167171114418,3,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,67624,0,77.0,1541897.875,False,Compliant,10.75,37,8.849714197754668,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,NORTH,1.0,1,32590,0,,1361794.25,False,Compliant,43.13,10,9.321919985974722,1,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,4,73234,0,72.0,1808401.375,False,Compliant,12.61,45,6.640107077167611,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,5,145018,0,25.0,2249449.75,False,Compliant,15.68,35,0.35937950418213416,3,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Warehouse,GREATER DUWAMISH,1.0,1,37500,0,36.0,1811506.375,False,Compliant,13.16,38,5.1075193472114675,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Medical Office,CENTRAL,1.0,2,39000,0,25.0,2615247.75,False,Compliant,33.92,33,5.145919698318295,1,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
Other,SOUTHWEST,1.0,1,22180,0,,5089083.0,False,Compliant,147.0,99,5.518195618587493,2,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,3,66885,0,70.0,1423929.125,False,Compliant,9.93,39,4.225328754809119,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,4,28560,0,,738592.0,False,Compliant,25.93,16,5.642868405663453,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,CENTRAL,1.0,3,52166,0,28.0,1433573.25,False,Compliant,9.99,43,5.069088282964739,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,GREATER DUWAMISH,1.0,1,51704,0,62.0,1799402.75,True,Error - Correct Default Data,41.68,52,4.406146230508718,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Distribution Center,GREATER DUWAMISH,1.0,1,25920,0,,1219744.75,False,Compliant,12.48,54,5.277203043363319,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,25480,0,,741287.1875,False,Compliant,5.17,70,5.324453682277691,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Warehouse,GREATER DUWAMISH,1.0,2,31000,0,,2301043.75,False,Compliant,19.93,53,5.431183083023775,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,29740,0,57.0,1467060.25,False,Compliant,19.82,62,5.421364234601378,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Distribution Center,GREATER DUWAMISH,1.0,1,23236,0,,433871.0,False,Compliant,13.02,69,5.459465309907809,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,SOUTHEAST,1.0,3,38075,0,,1921801.25,False,Compliant,19.04,14,5.573766724478605,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,SOUTHEAST,1.0,7,139530,0,77.0,3944933.5,False,Compliant,46.75,54,5.982260630036236,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,SOUTHEAST,1.0,2,39170,0,81.0,2130673.75,False,Compliant,63.06,53,5.967888626610954,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,SOUTHEAST,0.0,1,36070,0,,1441665.375,False,Compliant,10.05,46,6.191571445483507,1,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,5,34542,9028,,1237655.25,False,Compliant,40.51,21,0.45789007816992533,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,SOUTHEAST,1.0,2,20047,0,,117438.3984,False,Compliant,0.82,60,7.083940779284658,1,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,1.0,3,37080,0,62.0,1162007.625,False,Compliant,8.1,55,6.744220275884324,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,0.0,3,22108,0,47.0,791035.5,False,Compliant,5.51,21,6.728571191157377,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Retail Store,GREATER DUWAMISH,1.0,1,20000,0,75.0,557863.6875,False,Compliant,3.89,109,3.3356353420500513,1,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Warehouse,GREATER DUWAMISH,1.0,2,32400,0,91.0,248616.0,False,Compliant,1.73,68,3.90044213965003,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,4,84147,0,85.0,1618535.75,False,Compliant,11.28,15,1.2663115715517193,3,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
