PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,BuildingAge,distance_center,nb_use_types,Electricity,SteamUse,NaturalGas,Buildings Consumption,Neighborhood Consumption
Low-Rise Multifamily,SOUTHEAST,1.0,4,87696,0,15.0,2352982.75,False,Compliant,16.4,52,11.15621267399794,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,4,50299,0,45.0,1687738.0,False,Compliant,11.77,39,2.665003319705869,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,34882,6147,52.0,2291269.5,False,Compliant,103.07,74,1.6736209666882975,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,4,26808,0,17.0,967492.875,False,Compliant,6.74,43,4.234793919338525,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,BALLARD,1.0,2,57298,0,91.0,1586388.75,True,Error - Correct Default Data,11.06,34,5.590077973571501,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
High-Rise Multifamily,EAST,1.0,18,78538,0,6.0,5571501.5,False,Compliant,108.31,42,2.7201765980311805,3,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Worship Facility,NORTHEAST,1.0,3,26373,0,75.0,964236.0,False,Compliant,38.18,85,4.603662669516704,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,6,40128,0,,1618017.75,False,Compliant,58.09,19,1.072432600359711,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,24581,0,,566216.8125,False,Compliant,3.95,38,0.4825953244926065,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,34066,0,70.0,861109.0,False,Compliant,6.0,45,0.5524070384671349,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,CENTRAL,6.0,2,75868,0,,3605749.75,False,Compliant,25.14,67,7.31660547153631,4,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,EAST,2.0,4,33430,0,51.0,2192111.5,False,Compliant,101.8,112,4.22375378511416,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,4,28878,0,,740786.0,False,Compliant,7.83,22,4.148749386686657,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,EAST,1.0,2,21656,0,,1607972.25,False,Compliant,51.89,76,4.161992010813696,5,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
High-Rise Multifamily,NORTHEAST,1.0,11,72831,0,72.0,2375104.0,False,Compliant,19.1,52,4.622203118973184,2,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
